OBJECTID,NB_CODE,LEGEND_DESCRIPTION_1,LEGEND_DESCRIPTION_2,LEXICON_ID,LEXICON_LINK,TECT_BELT,TECT_BELT_CODE,SUPERGROUP,GROUP_SUITE,GROUP_SUITE_CODE,FORMATION_INTRUSION,FORMATION_INTRUSION_CODE,MEMBER_PHASE,MEMBER_CODE,LITHOTYPE,LITHOTYPE_CODE,AGE_FROM_LONG,AGE_FROM_SYMBOL,AGE_FROM_CODE,AGE_TO_LONG,AGE_TO_SYMBOL,AGE_TO_CODE,UNIT_LABEL_SYMBOLIZED,UNIT_LABEL_COMMON,GROUP_LABEL_SYMBOLIZED,GROUP_LABEL_COMMON,AGE_CODE
961,ACM-ii,"Dark grey to red, fine- to medium-grained quartz diorite to tonalite.",,1,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=1,Brookville,Bro,none,Golden Grove Plutonic Suite,GG,Acamac Tonalite,ACM,none,,intermediate intrusive rocks,ii,Late Ediacaran,Lª,L-Ed,Early Cambrian,E£,E-Cm,ªACMii,Ed-ACM-ii,ª£GG,EdCm-GG,
962,ALB-c,"Undivided
HIRAM BROOK MEMBER: Grey, fine- to coarse-grained, feldspathic sandstone with some rippling/crossbedding. Grey mudstone, kerogenous shale.
FREDERICK BROOK MEMBER: Dark grey/brown kerogenous siltstone, mudstone and shale; dark grey/brown, highly ","kerogenous, laminated, dolomitic fissile oil shale. Minor grey very fine to coarse-grained sandstone.
DAWSON SETTLEMENT MEMBER: Grey granule to boulder polymictic conglomerate, fine- to coarse-grained sandstone. Grey kerogenous mudstone/shale, limestone.",2,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2,Maritimes Basin,Mar,none,Horton Group,HR,Albert Formation,ALB,none,,clastic sedimentary rocks,c,Mississippian - Carboniferous,²¤,Ms-Cb,Mississippian - Carboniferous,²¤,Ms-Cb,²¤ALBc,Ms-Cb-ALB-c,¨¤HR,DvCb-HR,
963,ALL-fi,"Grey, fine- to medium-grained,  equigranular, muscovite-biotite granite.",,4,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=4,Late Silurian-Late Devonian Intrusions,Sdi,none,Pokiok Plutonic Suite,PK,Allandale Granite,ALL,none,,felsic intrusive rocks,fi,Early Devonian,E¨,E-Dv,Early Devonian,E¨,E-Dv,¨ALLfi,Dv-ALL-fi,¨PK,Dv-PK,
964,ALN-mi,"Dark green, foliated gabbro.",,3,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=3,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Allen Brook Gabbro,ALN,none,,mafic intrusive rocks,mi,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂALNmi,Sl-ALN-mi,ÂALN,Sl-ALN,
965,ALM-ii,"Grey, medium-grained, quartz diorite grading to diorite, tonalite and granodiorite; locally with cumulate layering/banding",,5,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=5,Caledonia,Cal,none,none,,Alma Diorite,ALM,none,,intermediate intrusive rocks,ii,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªALMii,Ed-ALM-ii,ªALM,Ed-ALM,
966,AND-mi,"Greyish green, medium- to coarse-grained locally mylonitic gabbro.",,2013,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2013,Kingston,Ktn,none,none,,Andys Pond Gabbro,AND,none,,mafic intrusive rocks,mi,Early Silurian,EÂ,E-Sl,Early Silurian,EÂ,E-Sl,ÂANDmi,Sl-AND-mi,ÂAND,Sl-AND,
967,ANT-fia,"Pink,  medium-grained biotite granite",,7,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=7,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Antinouri Lake Granite,ANT,a,,felsic intrusive rocks,fi,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨ANTfia,Dv-ANT-fia,¨ANT,Dv-ANT,
968,ANT-fib,"Pink, fine-grained, quartz-feldspar-phyric granite.",,7,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=7,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Antinouri Lake Granite,ANT,b,,felsic intrusive rocks,fi,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨ANTfib,Dv-ANT-fib,¨ANT,Dv-ANT,
969,ARC-fv,"Pink to maroon, typically aphyric and flow-layered, locally autobrecciated rhyolite and felsic pyroclastic rocks; minor volcaniclastic wacke and conglomerate, and mafic tuff.",,8,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=8,Tobique-Chaleur,Tob,none,Dalhousie Group,DL,Archibald Settlement Formation,ARC,none,,felsic flows,fv,Early Devonian,E¨,E-Dv,Early Devonian,E¨,E-Dv,¨ARCfv,Dv-ARC-fv,¨DL,Dv-DL,
970,ARM-LI,Medium to dark green basalt with composition transitional between mid-ocean ridge basalt (MORB) and island arc tholeiite.,,2046,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2046,Miramichi North,Mmn,Fournier Supergroup,Sormany Group,SR,Armstrong Brook Formation,ARM,Lincour Member,LI,none,,Middle Ordovician,Mµ,M-Od,Middle Ordovician,Mµ,M-Od,µARM-LI,Od-ARM-LI,µSR,Od-SR,
971,ARM-mv,"Dark green, massive to pillowed transitional mid-ocean ridge basalt (T-MORB) to tholeiitic basalt and abundant associated gabbro interpreted as feeders to the extrusive rocks. ",,2046,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2046,Miramichi North,Mmn,Fournier Supergroup,Sormany Group,SR,Armstrong Brook Formation,ARM,none,,mafic flows,mv,Middle Ordovician,Mµ,M-Od,Middle Ordovician,Mµ,M-Od,µARMmv,Od-ARM-mv,µSR,Od-SR,
972,ARM-MB,"Dark green, enriched mid-ocean-ridge-type basalt (E-MORB) to alkalic pillow basalt, metamorphosed to epidote blueschist facies.",,2046,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2046,Miramichi North,Mmn,Fournier Supergroup,Sormany Group,SR,Armstrong Brook Formation,ARM,Murray Brook Member,MB,none,,Middle Ordovician,Mµ,M-Od,Middle Ordovician,Mµ,M-Od,µARM-MB,Od-ARM-MB,µSR,Od-SR,
973,ART-cc,"Mainly red sandstone and conglomerate; minor red mudstone, and buff to light grey quartz pebble conglomerate and quartzose sandstone.",,9,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=9,Maritimes Basin,Mar,none,Mabou Group,MB,Arthurette Redbeds,ART,none,,coarse-grained clastic sedimentary rocks,cc,Mississippian - Carboniferous,²¤,Ms-Cb,Mississippian - Carboniferous,²¤,Ms-Cb,²¤ARTcc,Ms-Cb-ART-cc,²¤MB,Ms-Cb-MB,
