,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,CROWN CLOSURE,,,
,,,,
,Value,Description,Description,
,0,<10% crown closure (recent disturbance),Fermeture du couvert de <10 % (perturbation récente),
,1,10-30% crown closure,Fermeture du couvert de 10 à 30 %,
,2,30-50% crown closure ,Fermeture du couvert de 30 à 50 % ,
,3,50-70% crown closure ,Fermeture du couvert de 50 à 70 % ,
,4,70-90% crown closure ,Fermeture du couvert de 70 à 90 % ,
,5,>90% crown closure,Fermeture du couvert de >90 % ,
