,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,LAYER 1 merchantable DEVELOPMENT STAGE,,,
,,,,
,Value,Description,Description,
,Y,Young (used for merchantable-sized species other than spruce and balsam fir) ,Jeune (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,I,Immature (used for merchantable-sized species other than spruce and balsam fir) ,Immature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,M,Mature (used for merchantable-sized species other than spruce and balsam fir) ,Mature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,O,Overmature (used for merchantable-sized species other than spruce and balsam fir),Plus mature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier),
,,Blank,Vide,
