,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,DENSITY CLASS,,,
,,,,
,Value,Description,Description,
,1,"Number of commercial stems up to 600 (merchantable), up to 5000 (unmerchantable)","Nombre de tiges commerciales jusqu'à 600 (marchandes), jusqu'à 5 000 (non marchandes)",
,2,"Number of commercial stems 601 to 1200 (merchantable), 5001 to 10000 (unmerchantable)","Nombre de tiges commerciales de 601 à 1 200 (marchandes), de 5 001 à 10 000 (non marchandes)",
,3,"Number of commercial stems >1200 (merchantable), 10001 to 20000 (unmerchantable) ","Nombre de tiges commerciales >1 200 (marchandes), de 10 001 à 20 000 (non marchandes) ",
,4,Number of commercial stems 20001 to 30000 (unmerchantable),Nombre de tiges commerciales de 20 001 à 30 000 (non marchandes),
,5,Number of commercial stems >30000 (unmerchantable),Nombre de tiges commerciales >30 000 (non marchandes),
