,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,LandBase,,,,,,,
,,,,,,,,
,LAYER SPECIES PERCENT,,,,,,,
,,,,,,,,
,Value,Description,Description,,,,,
,0,0 percent,0 pour cent,,,,,
,1,10 percent,10 pour cent,,,,,
,2,20 percent,20 pour cent,,,,,
,3,30 percent  ,30 pour cent  ,,,,,
,4,40 percent,40 pour cent,,,,,
,5,50 percent,50 pour cent,,,,,
,6,60 percent,60 pour cent,,,,,
,7,70 percent,70 pour cent,,,,,
,8,80 percent,80 pour cent,,,,,
,9,90 percent,90 pour cent,,,,,
,10,100 percent,100 pour cent,,,,,
