,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,PLANTATION STOCKING,,,
,,,,
,Value,Description,Description,
,1,0 to 20% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 0 à 20 % avec des arbres plantés (éléments marchands et non marchands),
,2,21 to 30% stocked with planted trees (merchantable and unmerchantable components) ,Densité relative de 21 à 30 % avec des arbres plantés (éléments marchands et non marchands) ,
,3,31 to 40% stocked with planted trees (merchantable and unmerchantable components) ,Densité relative de 31 à 40 % avec des arbres plantés (éléments marchands et non marchands) ,
,4,41 to 50% stocked with planted trees (merchantable and unmerchantable components) ,Densité relative de 41 à 50 % avec des arbres plantés (éléments marchands et non marchands) ,
,5,51 to 60% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 51 à 60 % avec des arbres plantés (éléments marchands et non marchands),
,6,61 to 70% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 61 à 70 % avec des arbres plantés (éléments marchands et non marchands),
,7,71 to 80% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 71 à 80 % avec des arbres plantés (éléments marchands et non marchands),
,8,81 to 90% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 81 à 90 % avec des arbres plantés (éléments marchands et non marchands),
,9,91 to 100% stocked with planted trees (merchantable and unmerchantable components),Densité relative de 91 à 100 % avec des arbres plantés (éléments marchands et non marchands),
