,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,LandBase,,,
,,,,
,SPECIES DEVELOPMENT STAGE,,,
,,,,
,Value,Description,Description,
,R,Regenerating (only for unmerchantable component) ,En cours de régénération (seulement pour les éléments non marchands),
,S,Sapling (only for unmerchantable component),Arbrisseau (seulement pour les éléments non marchands),
,Y,Young (used for merchantable-sized species other than spruce and balsam fir) ,Jeune (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,I,Immature (used for merchantable-sized species other than spruce and balsam fir) ,Immature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,M,Mature (used for merchantable-sized species other than spruce and balsam fir) ,Mature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier) ,
,O,Overmature (used for merchantable-sized species other than spruce and balsam fir),Plus mature (utilisé pour les essences de taille marchande autres que l'épinette et le sapin baumier),
,2,Age class (years) for spruce of 16 to 30 ,Catégorie d'âge (années) pour l'épinette de 16 à 30 ans,
,3,Age class (years) for balsam fir of 21 to 30 and for spruce of 31 to 45 ,"Catégorie d'âge (années) pour le sapin baumier, de 21 à 30 ans, et pour l'épinette, de 31 à 45 ans",
,4,Age class (years) for balsam fir of 31 to 40 and for spruce of 46 to 60,"Catégorie d'âge (années) pour le sapin baumier, de 31 à 40 ans, et pour l'épinette, de 46 à 60 ans",
,5,Age class (years) for balsam fir of 41 to 50 and for spruce of 61 to 75 ,"Catégorie d'âge (années) pour le sapin baumier, de 41 à 50 ans, et pour l'épinette, de 61 à 75 ans",
,6,Age class (years) for balsam fir of 51 to 60 and for spruce of 76 to 90 ,"Catégorie d'âge (années) pour le sapin baumier, de 51 à 60 ans, et pour l'épinette, de 76 à 90 ans",
,7,Age class (years) for balsam fir of 61 to 70 and for spruce of 91 to 105 ,"Catégorie d'âge (années) pour le sapin baumier, de 61 à 70 ans, et pour l'épinette, de 91 à 105 ans",
,8,Age class (years) for balsam fir of 71+ and for spruce of 106 to 120,"Catégorie d'âge (années) pour le sapin baumier, de 71+ et pour l'épinette, de 106 à 120",
,9,Age class (years) for spruce of 121+,"Catégorie d'âge (années) pour l'épinette, 121 ans et plus",
, ,Blank,Vide,
