,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,FOREST,,,,,,
,,,,,,,
,Companion document: ,,NB Integrated Land Classification System,,,,
,Document accompagnant:,,Système intégré de classification des terres du NB,,,,
,,,,,,,
,Domain Link,Name,Description,Data Type,Additional Background,Description_F,Contexte supplémentaire
,,OBJECTID,Object ID (internal use only),OID,,Identificateur d'objet (réservé à l'usage interne),
,,STDLAB,Unique stand identifier (Map#+Stand#),LONG,,Identifiant de peuplement unique (no de la carte + no du peuplement),
,FST,FST,Forest stand type,SHORT,,Type de peuplement forestier,
,SITEI,SITEI,Poor site indicator,TEXT,,Indicateur de site pauvre,
,VOLI,VOLI,Residual volume indicator,TEXT,,Indicateur de volume résiduel,
,ORIGIN,ORIGIN,"Origin of stand (B,C,F,N,W)",TEXT,,"Origine du peuplement (B, C, F, N, W)",
,TRT,TRT,Latest silviculture treatment ,TEXT,,Dernier traitement sylvicole,
,,TRTYR,Year of latest silviculture treatment ,SHORT,,Année du dernier traitement sylvicole,
,H1-H4,H1,1st harvest treatment ,TEXT,Harvest history where H1 is the oldest and H4 is the most recent.  History information was compiled for a single forest interpreted polygon by intersecting harvest history with the forest interp and summarizing the overlap.  History was added when: 1) 70% or more of the harvest history block overlaps the forest polygon or 2) if 30% or more of the harvest history block overlaps the forest polygon and 90% or more of that block falls into the forest polygon.,Traitement de la première récolte,"Historique de la récolte où R1 est la plus ancienne et R4, la plus récente. Les renseignements sur l'historique ont été compilés pour un seul polygone interprété de la forêt en recoupant l'historique de la récolte et l'interp. de la forêt et en résumant le chevauchement. L'historique a été ajouté quand : 1) 70 % ou plus du quadrat de l'historique de la récolte chevauchait le polygone de la forêt ou 2) 30 % ou plus du quadrat de l'historique de la récolte chevauchait le polygone de la forêt et 90 % ou plus de ce quadrat faisait partie du polygone de la forêt."
,,H1YR,Year of 1st harvest treatment,SHORT,,Année du traitement de la première récolte,
,,H2,2nd harvest treatment,TEXT,,Traitement de la deuxième récolte,
,,H2YR,Year of 2nd harvest treatment,SHORT,,Année du traitement de la deuxième récolte,
,,H3,3rd harvest treatment,TEXT,,Traitement de la troisième récolte,
,,H3YR,Year of 3rd harvest treatment,SHORT,,Année du traitement de la troisième récolte,
,,H4,4th harvest treatment,TEXT,,Traitement de la quatrième récolte,
,,H4YR,Year of 4th harvest treatment,SHORT,,Année du traitement de la quatrième récolte,
,RF,RF,Reforestation treatment,TEXT,Reforestation history (full or fill plant),Traitement de reboisement,Historique du reboisement (plantation complète ou intercalaire)
,,RFYR,Year of reforestation treatment,SHORT,,Année du traitement de reboisement,
,SI,SI,Stand Improvement treatment (PCT or Plantation cleaning),TEXT,Stand improvement history (pre-commercial thinning or plantation cleaning),Traitement d'amélioration du peuplement (TCP ou nettoiement de la plantation),Historique de l'amélioration du peuplement (éclaircie précommerciale ou nettoiement de la plantation)
,,SIYR,Year of Stand Improvement treatment,SHORT,,Année du traitement d'amélioration du peuplement,
,UNTREATI,UNTREATI,Reason for non-treatment of area within treated block,SHORT,Optionally record reason for non-treatment of area within treated block,Raison du non-traitement de la zone dans le bloc traité,Raison facultative de l'enregistrement du non-traitement de la zone dans le quadrat traité
