,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,LandBase,,,,,,
,,,,,,,
,Companion document: ,,NB Integrated Land Classification System,,,,
,Document accompagnant:,,Système intégré de classification des terres du NB,,,,
,,,,,,,
,Domain Link,Name,Description_E,Data Type,Additional Background,Description_F,Contexte supplémentaire
,,OBJECTID,Object ID (internal use only),OID,,Identificateur d'objet (réservé à l'usage interne),
,CAT,CAT,Category,TEXT,"Note: NF LandBase coded class is similar but different from the NF SDE feature class (an input to LandBase).  The NF LandBase coded class adds additional non-forested info from items like forested roads (from transportation input layer). The WL and WB LandBase coded class is similar but different from the WL and WB SDE feature classes (input layers to LandBase). For example, some open water WLs are coded/classed as WB in LandBase. ",Catégorie,
,,STDLAB,Unique stand identifier (4 digit Map # + Stand #),LONG,,Identifiant de peuplement unique (no de carte à 4 chiffres + no du peuplement),
,HOLDER,HOLDER,Holder code,SHORT,,Code du détenteur,
,FST,FST,Forest stand type,SHORT,,Type de peuplement forestier,
,SITEI,SITEI,Poor site indicator,TEXT,,Indicateur de site pauvre,
,VOLI,VOLI,Residual volume indicator,TEXT,,Indicateur de volume résiduel,
,ORIGIN,ORIGIN,"Origin of stand (B,C,F,N,W)",TEXT,,"Origine du peuplement (B, C, F, N, W)",
,TRT,TRT,Latest silviculture treatment ,TEXT,,Dernier traitement sylvicole,
,,TRTYR,Year of latest silviculture treatment ,SHORT,,Année du dernier traitement sylvicole,
,H1-H4,H1,1st harvest treatment ,TEXT,Harvest history where H1 is the oldest and H4 is the most recent.  History information was compiled for a single forest interpreted polygon by intersecting harvest history with the forest interp and summarizing the overlap.  History was added when: 1) 70% or more of the harvest history block overlaps the forest polygon or 2) if 30% or more of the harvest history block overlaps the forest polygon and 90% or more of that block falls into the forest polygon.,Traitement de la première récolte,"Historique de la récolte où R1 est la plus ancienne et R4, la plus récente. Les renseignements sur l'historique ont été compilés pour un seul polygone interprété de la forêt en recoupant l'historique de la récolte et l'interp. de la forêt et en résumant le chevauchement. L'historique a été ajouté quand : 1) 70 % ou plus du quadrat de l'historique de la récolte chevauchait le polygone de la forêt ou 2) 30 % ou plus du quadrat de l'historique de la récolte chevauchait le polygone de la forêt et 90 % ou plus de ce quadrat faisait partie du polygone de la forêt."
,,H1YR,Year of 1st harvest treatment,SHORT,,Année du traitement de la première récolte,
,,H2,2nd harvest treatment,TEXT,,Traitement de la deuxième récolte,
,,H2YR,Year of 2nd harvest treatment,SHORT,,Année du traitement de la deuxième récolte,
,,H3,3rd harvest treatment,TEXT,,Traitement de la troisième récolte,
,,H3YR,Year of 3rd harvest treatment,SHORT,,Année du traitement de la troisième récolte,
,,H4,4th harvest treatment,TEXT,,Traitement de la quatrième récolte,
,,H4YR,Year of 4th harvest treatment,SHORT,,Année du traitement de la quatrième récolte,
,RF,RF,Reforestation treatment,TEXT,Reforestation history (full or fill plant),Traitement de reboisement,Historique du reboisement (plantation complète ou intercalaire)
,,RFYR,Year of reforestation treatment,SHORT,,Année du traitement de reboisement,
,SI,SI,Stand Improvement treatment (PCT or Plantation cleaning),TEXT,Stand improvement history (pre-commercial thinning or plantation cleaning),Traitement d'amélioration du peuplement (TCP ou nettoiement de la plantation),Historique de l'amélioration du peuplement (éclaircie précommerciale ou nettoiement de la plantation)
,,SIYR,Year of Stand Improvement treatment,SHORT,,Année du traitement d'amélioration du peuplement,
,UNTREATI,UNTREATI,Reason for non-treatment of area within treated block,SHORT,Optionally record reason for non-treatment of area within treated block,Raison du non-traitement de la zone dans le quadrat traité,Raison facultative de l'enregistrement du non-traitement de la zone dans le quadrat traité
,LPRIORITY,LPRIORITY,Dominant layer (1 or 2),SHORT,"indicates which layer is dominant:
 ● if FST =1 then LPRIORITY = 1
 ● if FST=3 then LPRIORITY=2
 ● if FST=2 then LPRIORITY=1 unless L1CC=1 & L2CC > 1 or L1CC=1 & L2CC=1 and latest harvest treatment is a partial harvest code then LPRIORITY=2",Strate dominante (1 ou 2),"Indique quelle strate est dominante :
 ● si TPF =1, alors SPRIORIT = 1
 ● si TPF=3, alors SPRIORIT=2
 ● si TPF=2, alors SPRIORIT=1 , à moins que S1FC=1 et S2FC > 1 ou S1FC=1 et S2FC=1 et que le dernier traitement de la récolte porte le code de récolte partielle, alors SPRIORIT=2"
,L1DATASRC,L1DATASRC,Source of stand data:        ,TEXT,,Source des données sur le peuplement :        ,
,,L1DATAYR,Year of merchantable layer data,SHORT,Note: DATAYR of 2014 means layers is updated to 2014 in year of photo-interpretation.,Année des données sur la strate marchande ,
,L1FUNA,L1FUNA,Merchantable layer forest unit name based on species composition (2008 algorithm),TEXT,,Nom de l'unité forestière de la strate marchande selon la composition des essences (algorithme de 2008),
,,L1ESTABYR,Year of merchantable layer establishment (based on treatment year),SHORT,,Année d'établissement de la strate marchande (selon l'année du traitement),
,,L1ARYR,Year of merchantable layer establishment (based on advanced regeneration),SHORT,,Année d'établissement de la strate marchande (selon la régénération préexistante),
,L1S1-L1S5,L1S1,Merchantable layer first species code (in order of predominance),TEXT,,Code de la première essence de la strate marchande (par ordre d’importance),
,L1DS1-L1DS5,L1DS1,Merchantable layer first species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la première essence de la strate marchande  ,
,L1PR1-L1PR5,L1PR1,Merchantable layer first species percent ratio,SHORT,,Ratio en pourcentage de la première essence de la strate marchande,
,,L1S2,Merchantable layer second species code,TEXT,,Code de la deuxième essence de la strate marchande,
,,L1DS2,Merchantable layer second species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la deuxième essence de la strate marchande ,
,,L1PR2,Merchantable layer second species percent ratio,SHORT,,Ratio en pourcentage de la deuxième essence de la strate marchande,
,,L1S3,Merchantable layer third species code,TEXT,,Code de la troisième essence de la strate marchande,
,,L1DS3,Merchantable layer third species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la troisième essence de la strate marchande ,
,,L1PR3,Merchantable layer third species percent ratio,SHORT,,Ratio en pourcentage de la troisième essence de la strate marchande,
,,L1S4,Merchantable layer fourth species code,TEXT,,Code de la quatrième essence de la strate marchande,
,,L1DS4,Merchantable layer fourth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la quatrième essence de la strate marchande,
,,L1PR4,Merchantable layer fourth species percent ratio,SHORT,,Ratio en pourcentage de la quatrième essence de la strate marchande,
,,L1S5,Merchantable layer fifth species code,TEXT,,Code de la cinquième essence de la strate marchande,
,,L1DS5,Merchantable layer fifth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la cinquième essence de la strate marchande,
,,L1PR5,Merchantable layer fifth species percent ratio,SHORT,,Ratio en pourcentage de la cinquième essence de la strate marchande,
,L1DS,L1DS,Merchantable layer development stage,TEXT,,Stade de développement de la strate marchande ,
,L1CCI,L1CCI,Merchantable layer variable crown closure indicator,SHORT,,Indicateur de fermeture variable du couvert de la strate marchande,
,L1CC,L1CC,Merchantable layer crown closure code,SHORT,,Code de fermeture du couvert de la strate marchande,
,,L1VOL,Merchantable layer residual volume (m3/ha),SHORT,L1VOL (merchantable volume standing) will continue to be collected till the end of the current interpretation cycle while L1BA will be optionally submitted via forest updates,Volume résiduelle de la strate marchande (m3/ha),"On continuera de recueillir les données de S1VOL (volume marchand debout) jusqu'à la fin du cycle d'interprétation actuel, tandis qu'on présentera les données de S1ST de manière facultative par l'entremise des mises à jour sur la forêt."
,,L1BA,Merchantable layer residual basal area (m2/ha),SHORT,,Surface terrière résiduelle de la strate marchande (m2/ha),
,L1PSTOCK,L1PSTOCK,Merchantable layer planted species stocking class,SHORT,,Classe de densité relative des essences plantées dans la strate marchande ,
,L1VS,L1VS,Merchantable layer number of canopy layers,SHORT,,Nombre de strates du couvert de la strate marchande,
,,L1HT,Merchantable layer average height in metres,SHORT,,"Hauteur moyenne de la strate marchande, en mètres",
,L1DC,L1DC,Merchantable layer density class,SHORT,,Classe de densité de la strate marchande,
,L1SC,L1SC,Merchantable layer size class,SHORT,,Classe de taille de la strate marchande,
,L2DATASRC,L2DATASRC,Source of unmerchantable layer data,TEXT,,Source des données sur la strate non marchande,
,,L2DATAYR,Year of unmerchantable layer data,SHORT,,Année des données sur la strate non marchande,
,L2FUNA,L2FUNA,Unmerchantable layer forest unit name based on species composition (2008 algorithm),TEXT,,Nom de l'unité forestière de la strate non marchande selon la composition des essences (algorithme de 2008),
,,L2ESTABYR,Year of unmerchantable layer establishment (based on treatment year),SHORT,,Année d'établissement de la strate non marchande (selon l'année du traitement),
,,L2ARYR,Year of unmerchantable layer establishment (based on advanced regeneration),SHORT,,Année d'établissement de la strate non marchande (selon la régénération préexistante),
,L2S1-L2S5,L2S1,Unmerchantable layer first species code (in order of predominance),TEXT,,Code de la première essence de la strate non marchande (par ordre d’importance),
,L2DS1-L2DS5,L2DS1,Unmerchantable layer first species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la première essence de la strate non marchande  ,
