,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Transportation,,,,,,,,
,,,,,,,,,
,Domain Link,Name,Description,Input Width,Data Type,Status,Description_F,,
,TRANSPORTATION_TYPE,TRANSPORTATION_TYPE,Transportation type,,INTEGER,,Type de transport,,
,CODE,CODE,Road Code,2,TEXT,Active use,Codes des routes,,
,,YEAR,Year of road data,,INTEGER,Active use,Année des données sur la route,,
,DTI_PUBLIC,DTI_PUBLIC,DTI public roads,,INTEGER,Active use,Désignation,,
,HALFWIDTH,HALFWIDTH,Half of the road corridor width. Derived from the CODE field,,DECIMAL?,Active use,Moitié de la largeur du corridor routier,,
,,ROAD_ID,Road ID - uknown purpose,,LONG,,Identificateur de la route,,
,,,,,,,,,
,,,,,,,,,
,CODE,Value,Description,"HALFWIDTH
(metres)",-,-,Description_F,,
,,F1,Primary forest road,10,-,-,Chemin forestier primaire,,
,,F2,Secondary forest road,7,-,-,Chemin forestier secondaire,,
,,F3,Tertiary or limited access forest road (former wood extraction roads now used for secondary resource functions),5,-,-,Chemin forestier tertiaire ou à accès limité (ancien chemin d'extraction du bois maintenant utilisé pour des activités secondaires liées aux ressources),,
,,F4,Logging roads built within harvest blocks,5,-,-,Chemin d'exploitation forestière à l'intérieur des quadrats de récolte,,
,,F5,Poor access roads with a visible road surface,4,-,-,Chemin d'accès de mauvaise qualité dont le revêtement est visible,,
,,F6,Abandoned roads with a poorly defined road surface,0,-,-,Chemin abandonné dont le revêtement est mal défini,,
,,P1,Primary DTI maintained (#’ed highways),8-30; default to 13,-,-,Route principale du ministère des Transports,,
,,P2,Secondary DTI maintained (others),6-10; default to 8,-,-,Route secondaire du ministère des Transports,,
,,RR,Railroad,10,-,-,Chemin de fer,,
,,TL,"Trails (abandoned railroads converted to trails, etc)",4,-,-,"Sentier (chemin de fer abandonné, converti en sentier, etc.)",,
,,AR,Abandoned railroads (not part of trail system),4,-,-,Chemin de fer abandonné (ne faisant pas partie du réseau de sentiers),,
,,WR,Winter road for forest operations,5,-,-,,,
,,,,,,,,,
,,,,,,,,,
,DTI_PUBLIC,Value,Description,Description_F,,,,,
,,3,"DTI non-maintained and overlaps or connects to DNR designated road (SDEOWNER.DesignatedRoadsCurrent)l similar to F1, F2 or F3","DTI non-maintained and overlaps or connects to DNR designated road (SDEOWNER.DesignatedRoadsCurrent)l similar to F1, F2 or F3",,,,,
,,4,DTI non-maintained but visible road surface; similar to F4 or F5,DTI non-maintained but visible road surface; similar to F4 or F5,,,,,
,,5,DTI non-maintained no visible road surface but visible corridor; similar to F5,DTI non-maintained no visible road surface but visible corridor; similar to F5,,,,,
,,6,DTI non-maintained and no visible road surface or corridor (was a road at one time but no trace left now); similar to F6,DTI non-maintained and no visible road surface or corridor (was a road at one time but no trace left now); similar to F6,,,,,
,,,,,,,,,
,TRANSPORTATION_TYPE,Value,Description,Description_F,,,,,
,,1,DNR road (including trails),Route du MDN (y compris les sentiers),,,,,
,,2,DOT road,Route du ministère des Transports,,,,,
,,3,Railroads (including abandoned railways),Chemin de fer (y compris les chemins de fer abandonnés),,,,,
